"sp" "spn" "depth" "taxa" "ntip"
"species" "22" "0.0172011820768244" "Zotu45_P1_A01_32TCONS2_S502_N701;size=7" "9"
"species" "22" "0.0172011820768244" "Zotu183_P1_E02_21MMC3_S517_N701;size=2" "9"
"species" "22" "0.0172011820768244" "Zotu40_P1_E02_21MMC3_S517_N701;size=2" "9"
"species" "22" "0.0172011820768244" "Zotu161_P1_D05_13SHC4C1_S505_N703;size=1" "9"
"species" "22" "0.0172011820768244" "Zotu26_P2_A03_11MMOC3W_S502_N708;size=1" "9"
"species" "22" "0.0172011820768244" "Zotu74_P2_D03_12MMOC3R_S504_N708;size=2" "9"
"species" "22" "0.0172011820768244" "Zotu173_P2_G03_2SHCN5C2J_S506_N708;size=1" "9"
"species" "22" "0.0172011820768244" "Zotu106_P1_E02_21MMC3_S517_N701;size=3" "9"
"species" "22" "0.0172011820768244" "Zotu213_P2_D03_12MMOC3R_S504_N708;size=1" "9"
"species" "29" "0.00847554138660238" "Zotu244_P2_A01_16IZPOC1_S502_N707;size=1" "4"
"species" "29" "0.00847554138660238" "Zotu7_P1_C11_7IZPOC1W_S506_N706;size=4" "4"
"species" "29" "0.00847554138660238" "Zotu66_P1_C11_7IZPOC1W_S506_N706;size=3" "4"
"species" "29" "0.00847554138660238" "Zotu169_P2_B05_16IZPOC1a_S507_N709;size=1" "4"
"species" "31" "0.00119273270516483" "Zotu4_P1_E03_55TRE137_S505_N702;size=4" "2"
"species" "31" "0.00119273270516483" "Zotu7_P1_E03_55TRE137_S505_N702;size=2" "2"
"species" "39" "0.0156377000054563" "Zotu61_P1_G01_8IZTPOCR_S505_N701;size=3" "7"
"species" "39" "0.0156377000054563" "Zotu182_P2_A01_16IZPOC1_S502_N707;size=2" "7"
"species" "39" "0.0156377000054563" "Zotu167_P1_G01_8IZTPOCR_S505_N701;size=1" "7"
"species" "39" "0.0156377000054563" "Zotu65_P1_G01_8IZTPOCR_S505_N701;size=1" "7"
"species" "39" "0.0156377000054563" "Zotu175_P1_D05_13SHC4C1_S505_N703;size=2" "7"
"species" "39" "0.0156377000054563" "Zotu85_P1_D05_13SHC4C1_S505_N703;size=2" "7"
"species" "39" "0.0156377000054563" "Zotu151_P1_E02_21MMC3_S517_N701;size=2" "7"
"species" "43" "0.0122096583216283" "Zotu42_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "43" "0.0122096583216283" "Zotu75_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "43" "0.0122096583216283" "Zotu109_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "43" "0.0122096583216283" "Zotu83_P1_G01_8IZTPOCR_S505_N701;size=1" "4"
"species" "54" "0.00420182924085634" "Zotu158_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "54" "0.00420182924085634" "Zotu155_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "54" "0.00420182924085634" "Zotu163_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "63" "0.00179155267523096" "Zotu72_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "63" "0.00179155267523096" "Zotu60_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "63" "0.00179155267523096" "Zotu31_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "68" "0.0117798299173845" "Zotu152_P2_D03_12MMOC3R_S504_N708;size=1" "4"
"species" "68" "0.0117798299173845" "Zotu133_P2_D03_12MMOC3R_S504_N708;size=1" "4"
"species" "68" "0.0117798299173845" "Zotu8_P2_D03_12MMOC3R_S504_N708;size=1" "4"
"species" "68" "0.0117798299173845" "Zotu144_P2_D03_12MMOC3R_S504_N708;size=1" "4"
"species" "71" "0.00603542649246631" "Zotu210_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "71" "0.00603542649246631" "Zotu195_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "75" "0.0011937491689237" "Zotu25_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "75" "0.0011937491689237" "Zotu53_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "76" "0.0134027798829355" "Zotu254_P1_D05_13SHC4C1_S505_N703;size=2" "2"
"species" "76" "0.0134027798829355" "Zotu118_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "77" "0.00480484547283523" "Zotu184_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "77" "0.00480484547283523" "Zotu175_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "77" "0.00480484547283523" "Zotu186_P2_D03_12MMOC3R_S504_N708;size=1" "3"
"species" "79" "0.0112972135463866" "Zotu80_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "79" "0.0112972135463866" "Zotu48_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "79" "0.0112972135463866" "Zotu10_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "79" "0.0112972135463866" "Zotu37_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "79" "0.0112972135463866" "Zotu34_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "79" "0.0112972135463866" "Zotu59_P1_G01_8IZTPOCR_S505_N701;size=1" "6"
"species" "80" "0.0011937491689237" "Zotu28_P1_C11_7IZPOC1W_S506_N706;size=2" "2"
"species" "80" "0.0011937491689237" "Zotu155_P1_E02_21MMC3_S517_N701;size=2" "2"
"species" "82" "0.0149899941861194" "Zotu101_P2_D03_12MMOC3R_S504_N708;size=1" "5"
"species" "82" "0.0149899941861194" "Zotu113_P2_D03_12MMOC3R_S504_N708;size=1" "5"
"species" "82" "0.0149899941861194" "Zotu125_P2_D03_12MMOC3R_S504_N708;size=1" "5"
"species" "82" "0.0149899941861194" "Zotu86_P2_D03_12MMOC3R_S504_N708;size=1" "5"
"species" "82" "0.0149899941861194" "Zotu96_P2_D03_12MMOC3R_S504_N708;size=1" "5"
