"Zotu102_P2_A01_16IZPOC1_S502_N707" "Zotu105_P1_C03_29TRE808_S504_N702" "Zotu105_P2_A01_16IZPOC1_S502_N707" "Zotu106_P1_G01_8IZTPOCR_S505_N701" "Zotu109_P1_D05_13SHC4C1_S505_N703" "Zotu109_P1_E02_21MMC3_S517_N701" "Zotu10_P1_C03_29TRE808_S504_N702" "Zotu114_P1_C03_29TRE808_S504_N702" "Zotu123_P2_G03_2SHCN5C2J_S506_N708" "Zotu128_P1_G01_8IZTPOCR_S505_N701" "Zotu130_P1_G01_8IZTPOCR_S505_N701" "Zotu132_P2_A01_16IZPOC1_S502_N707" "Zotu133_P2_E05_41TDIST2b_S502_N710" "Zotu135_P1_G01_8IZTPOCR_S505_N701" "Zotu14_P1_E03_55TRE137_S505_N702" "Zotu164_P1_F08_41TDIST2_S503_N705" "Zotu167_P1_A01_32TCONS2_S502_N701" "Zotu171_P1_A01_32TCONS2_S502_N701" "Zotu177_P1_F08_41TDIST2_S503_N705" "Zotu183_P1_F08_41TDIST2_S503_N705" "Zotu18_P2_D03_12MMOC3R_S504_N708" "Zotu204_P1_D05_13SHC4C1_S505_N703" "Zotu208_P1_E02_21MMC3_S517_N701" "Zotu213_P2_G03_2SHCN5C2J_S506_N708" "Zotu215_P1_D05_13SHC4C1_S505_N703" "Zotu228_P1_D05_13SHC4C1_S505_N703" "Zotu22_P2_A01_16IZPOC1_S502_N707" "Zotu23_P1_B09_9MMC3P_S505_N705" "Zotu24_P2_A03_11MMOC3W_S502_N708" "Zotu27_P1_E03_55TRE137_S505_N702" "Zotu28_P2_G03_2SHCN5C2J_S506_N708" "Zotu32_P1_E03_55TRE137_S505_N702" "Zotu35_P1_C11_7IZPOC1W_S506_N706" "Zotu36_P1_D10_4SHC5C2R_S502_N706" "Zotu41_P1_D10_4SHC5C2R_S502_N706" "Zotu48_P1_E02_21MMC3_S517_N701" "Zotu56_P1_E03_55TRE137_S505_N702" "Zotu70_P1_E02_21MMC3_S517_N701" "Zotu88_P2_G03_2SHCN5C2J_S506_N708" "Zotu92_P1_G01_8IZTPOCR_S505_N701" "Zotu95_P1_G01_8IZTPOCR_S505_N701"
"G_A_Pab_13SHC4C1" 0 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_A_Pab_19MMC1" 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_A_Pab_32TCONS2" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_B_Sa_16IZPOC1a" 1 0 1 0 1 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"G_B_Sa_21MMC3a" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"G_B_Sa_29TRE808a" 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_B_Sa_41TDIST2a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_B_Sa_55TRE137a" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"G_C_Sb_16IZPOC1b" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"G_C_Sb_21MMC3b" 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0
"G_C_Sb_29TRE808b" 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_C_Sb_41TDIST2b" 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"G_C_Sb_55TRE137b" 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0
"G_D_Pab_13SHC4a" 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_D_Pab_19MMC1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_E_Pab_16IZPOC1" 1 0 1 0 1 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"G_E_Pab_21MMC3" 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0
"G_E_Pab_29TRE808" 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_E_Pab_41TDIST2" 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"G_E_Pab_55TRE137" 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0
"IZP_T1_P_5IZPOC1P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IZP_T1_W_7IZPOC1W" 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1
"IZP_T_J_6IZPOC1J" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"IZT_T_R_8IZTPOCR" 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"MM_T_J_10MMOC3J" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MM_T_P_9MMC3P" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"MM_T_R_12MMOC3R" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"MM_T_W_11MMOC3W" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"SJH_T_R_4SHC5C2R" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"T_P_SJH_1SHC5C2P" 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
