"Zotu109_P2_B05_16IZPOC1a_S507_N709" "Zotu118_P1_C03_29TRE808_S504_N702" "Zotu120_P1_A01_32TCONS2_S502_N701" "Zotu127_P1_E02_21MMC3_S517_N701" "Zotu142_P1_G01_8IZTPOCR_S505_N701" "Zotu14_P1_C11_7IZPOC1W_S506_N706" "Zotu175_P2_A01_16IZPOC1_S502_N707" "Zotu26_P1_C11_7IZPOC1W_S506_N706" "Zotu2_P1_C07_6IZPOC1J_S505_N704" "Zotu80_P2_G03_2SHCN5C2J_S506_N708"
"IZP_T_J_6IZPOC1J" 0 0 0 0 1 0 0 0 1 0
"IZP_T_P_5IZPOC1P" 1 0 0 0 1 0 0 0 1 0
"IZP_T_W_7IZPOC1W" 0 0 0 0 1 0 0 0 0 0
"IZT_T_R_8IZTPOCR" 1 0 0 0 0 1 1 1 0 0
"MM_T_J_10MMOC3J" 0 0 0 0 1 0 0 0 0 0
"MM_T_P_9MMC3P" 0 0 0 0 1 0 0 0 0 0
"MM_T_R_12MMOC3R" 0 0 0 1 0 0 0 0 1 0
"MM_T_W_11MMOC3W" 1 0 0 0 0 0 0 0 0 0
"SJH_T_J_2SHCN5C2J" 0 1 0 0 0 0 0 0 0 0
"SJH_T_P_1SHC5C2P" 0 0 1 0 0 1 0 0 0 1
"SJH_T_R_4SHC5C2R" 0 0 0 0 1 0 0 0 0 0
