"sample_names_Groups0.05" "ConservationMountain1" "Conservation" "Mountain1" "Groups" "ID" "Mountain1Groups" "sample_richness_Groups0.05"
"1" "Pab_A_G_13SHC4C1" "Pab_A" "Pab" "A" "G" "13SHC4C1" "A_G" "2"
"2" "Pab_A_G_16IZPOC1" "Pab_A" "Pab" "A" "G" "16IZPOC1" "A_G" "3"
"3" "Pab_A_G_19MMC1" "Pab_A" "Pab" "A" "G" "19MMC1" "A_G" "2"
"4" "Pab_A_G_21MMC3" "Pab_A" "Pab" "A" "G" "21MMC3" "A_G" "5"
"5" "Pab_A_G_29TRE808" "Pab_A" "Pab" "A" "G" "29TRE808" "A_G" "6"
"6" "Pab_A_G_32TCONS2" "Pab_A" "Pab" "A" "G" "32TCONS2" "A_G" "2"
"7" "Pab_A_G_41TDIST2" "Pab_A" "Pab" "A" "G" "41TDIST2" "A_G" "1"
"8" "Pab_A_G_55TRE137" "Pab_A" "Pab" "A" "G" "55TRE137" "A_G" "1"
"9" "Pab_D_G_13SHC4a" "Pab_D" "Pab" "D" "G" "13SHC4a" "D_G" "1"
"10" "Pab_D_G_19MMC1a" "Pab_D" "Pab" "D" "G" "19MMC1a" "D_G" "2"
"11" "Sa_C_G_16IZPOC1a" "Sa_C" "Sa" "C" "G" "16IZPOC1a" "C_G" "3"
"12" "Sa_C_G_21MMC3a" "Sa_C" "Sa" "C" "G" "21MMC3a" "C_G" "4"
"13" "Sa_C_G_29TRE808a" "Sa_C" "Sa" "C" "G" "29TRE808a" "C_G" "4"
"14" "Sb_C_G_16IZPOC1b" "Sb_C" "Sb" "C" "G" "16IZPOC1b" "C_G" "2"
"15" "Sb_C_G_21MMC3b" "Sb_C" "Sb" "C" "G" "21MMC3b" "C_G" "4"
"16" "Sb_C_G_29TRE808b" "Sb_C" "Sb" "C" "G" "29TRE808b" "C_G" "1"
"17" "Sb_C_G_41TDIST2b" "Sb_C" "Sb" "C" "G" "41TDIST2b" "C_G" "1"
