"Zotu100_P1_F08_41TDIST2_S503_N705" "Zotu101_P1_F08_41TDIST2_S503_N705" "Zotu102_P1_D05_13SHC4C1_S505_N703" "Zotu103_P1_F08_41TDIST2_S503_N705" "Zotu109_P1_F08_41TDIST2_S503_N705" "Zotu110_P1_D05_13SHC4C1_S505_N703" "Zotu112_P1_F08_41TDIST2_S503_N705" "Zotu117_P1_E02_21MMC3_S517_N701" "Zotu11_P1_A01_32TCONS2_S502_N701" "Zotu120_P2_A01_16IZPOC1_S502_N707" "Zotu124_P1_F08_41TDIST2_S503_N705" "Zotu134_P1_C03_29TRE808_S504_N702" "Zotu153_P1_E02_21MMC3_S517_N701" "Zotu186_P2_G03_2SHCN5C2J_S506_N708" "Zotu26_P2_A01_16IZPOC1_S502_N707" "Zotu31_P1_E03_55TRE137_S505_N702" "Zotu33_P1_A01_32TCONS2_S502_N701" "Zotu46_P1_C03_29TRE808_S504_N702" "Zotu54_P1_C03_29TRE808_S504_N702" "Zotu66_P2_A01_16IZPOC1_S502_N707" "Zotu72_P1_C03_29TRE808_S504_N702" "Zotu75_P2_A01_16IZPOC1_S502_N707" "Zotu80_P2_A01_16IZPOC1_S502_N707"
"G_A_Pab_13SHC4C1" 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"G_A_Pab_19MMC1" 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0
"G_A_Pab_32TCONS2" 0 0 1 1 0 1 0 0 1 0 0 0 1 1 1 0 1 1 0 0 0 0 0
"G_B_Sa_16IZPOC1a" 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1
"G_B_Sa_41TDIST2a" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_B_Sa_55TRE137a" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"G_C_Sb_16IZPOC1b" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0
"G_C_Sb_21MMC3b" 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"G_C_Sb_29TRE808b" 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0
"G_C_Sb_41TDIST2b" 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"G_C_Sb_55TRE137b" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"G_D_Pab_13SHC4a" 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_D_Pab_19MMC1a" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_E_Pab_16IZPOC1" 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1
"G_E_Pab_21MMC3" 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"G_E_Pab_29TRE808" 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0
"G_E_Pab_41TDIST2" 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"G_E_Pab_55TRE137" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
