"Zotu100_P2_A01_16IZPOC1_S502_N707" "Zotu101_P1_A01_32TCONS2_S502_N701" "Zotu107_P1_A01_32TCONS2_S502_N701" "Zotu10_P1_A01_32TCONS2_S502_N701" "Zotu10_P1_B09_9MMC3P_S505_N705" "Zotu10_P1_D10_4SHC5C2R_S502_N706" "Zotu10_P1_F08_41TDIST2_S503_N705" "Zotu11_P1_F08_41TDIST2_S503_N705" "Zotu12_P1_C07_6IZPOC1J_S505_N704" "Zotu12_P1_C11_7IZPOC1W_S506_N706" "Zotu12_P1_F08_41TDIST2_S503_N705" "Zotu13_P1_D10_4SHC5C2R_S502_N706" "Zotu14_P1_G01_8IZTPOCR_S505_N701" "Zotu15_P1_D10_4SHC5C2R_S502_N706" "Zotu15_P2_G03_2SHCN5C2J_S506_N708" "Zotu16_P1_B07_1SHC5C2P_S504_N704" "Zotu16_P1_F08_41TDIST2_S503_N705" "Zotu170_P1_D05_13SHC4C1_S505_N703" "Zotu17_P1_A01_32TCONS2_S502_N701" "Zotu17_P1_B09_9MMC3P_S505_N705" "Zotu17_P1_E03_55TRE137_S505_N702" "Zotu18_P1_A01_32TCONS2_S502_N701" "Zotu18_P1_B07_1SHC5C2P_S504_N704" "Zotu18_P1_C11_7IZPOC1W_S506_N706" "Zotu19_P1_D05_13SHC4C1_S505_N703" "Zotu19_P2_D03_12MMOC3R_S504_N708" "Zotu1_P1_D10_4SHC5C2R_S502_N706" "Zotu201_P1_D05_13SHC4C1_S505_N703" "Zotu20_P1_D10_4SHC5C2R_S502_N706" "Zotu21_P1_F07_5IZPOC1P_S507_N704" "Zotu22_P1_G01_8IZTPOCR_S505_N701" "Zotu23_P1_F08_41TDIST2_S503_N705" "Zotu24_P1_D10_4SHC5C2R_S502_N706" "Zotu27_P1_C11_7IZPOC1W_S506_N706" "Zotu29_P1_G01_8IZTPOCR_S505_N701" "Zotu29_P2_G03_2SHCN5C2J_S506_N708" "Zotu30_P1_A01_32TCONS2_S502_N701" "Zotu30_P1_F08_41TDIST2_S503_N705" "Zotu32_P1_H04_19MMC1_S503_N703" "Zotu33_P1_D05_13SHC4C1_S505_N703" "Zotu34_P1_C03_29TRE808_S504_N702" "Zotu36_P1_C07_6IZPOC1J_S505_N704" "Zotu37_P1_B09_9MMC3P_S505_N705" "Zotu37_P1_E02_21MMC3_S517_N701" "Zotu38_P2_D03_12MMOC3R_S504_N708" "Zotu39_P1_E03_55TRE137_S505_N702" "Zotu41_P1_E02_21MMC3_S517_N701" "Zotu42_P1_E03_55TRE137_S505_N702" "Zotu44_P1_A01_32TCONS2_S502_N701" "Zotu44_P1_G01_8IZTPOCR_S505_N701" "Zotu45_P1_F08_41TDIST2_S503_N705" "Zotu4_P1_D10_4SHC5C2R_S502_N706" "Zotu51_P1_B09_9MMC3P_S505_N705" "Zotu52_P1_A01_32TCONS2_S502_N701" "Zotu52_P1_C03_29TRE808_S504_N702" "Zotu53_P1_H04_19MMC1_S503_N703" "Zotu55_P1_E02_21MMC3_S517_N701" "Zotu56_P1_C03_29TRE808_S504_N702" "Zotu59_P1_C03_29TRE808_S504_N702" "Zotu5_P2_A01_16IZPOC1_S502_N707" "Zotu63_P1_C03_29TRE808_S504_N702" "Zotu65_P1_B09_9MMC3P_S505_N705" "Zotu66_P1_B09_9MMC3P_S505_N705" "Zotu74_P1_C03_29TRE808_S504_N702" "Zotu7_P1_E02_21MMC3_S517_N701" "Zotu7_P1_F08_41TDIST2_S503_N705" "Zotu81_P1_C03_29TRE808_S504_N702" "Zotu92_P1_E02_21MMC3_S517_N701"
"G_A_Pab_13SHC4C1" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0
"G_A_Pab_19MMC1" 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"G_A_Pab_32TCONS2" 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"G_B_Sa_16IZPOC1a" 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"G_B_Sa_21MMC3a" 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"G_B_Sa_29TRE808a" 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_B_Sa_41TDIST2a" 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_B_Sa_55TRE137a" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_C_Sb_16IZPOC1b" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"G_C_Sb_21MMC3b" 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1
"G_C_Sb_29TRE808b" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 1 0
"G_C_Sb_41TDIST2b" 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0
"G_C_Sb_55TRE137b" 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"G_D_Pab_13SHC4a" 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0
"G_D_Pab_19MMC1a" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"G_D_Pab_32TCN2b" 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_E_Pab_16IZPOC1" 1 1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"G_E_Pab_21MMC3" 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1
"G_E_Pab_29TRE808" 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0
"G_E_Pab_41TDIST2" 1 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0
"G_E_Pab_55TRE137" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"IZP_T_J_6IZPOC1J" 0 1 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IZP_T_P_5IZPOC1P" 0 1 1 1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"IZP_T_W_7IZPOC1W" 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IZT_T_R_8IZTPOCR" 0 1 1 1 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MM_T_J_10MMOC3J" 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"MM_T_P_9MMC3P" 0 1 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0
"MM_T_R_12MMOC3R" 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MM_T_W_11MMOC3W" 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"SJH_T_J_2SHCN5C2J" 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
