"Zotu100_P2_A01_16IZPOC1_S502_N707" "Zotu101_P1_A01_32TCONS2_S502_N701" "Zotu107_P1_A01_32TCONS2_S502_N701" "Zotu10_P1_A01_32TCONS2_S502_N701" "Zotu10_P1_B09_9MMC3P_S505_N705" "Zotu10_P1_F08_41TDIST2_S503_N705" "Zotu11_P1_F08_41TDIST2_S503_N705" "Zotu12_P1_F08_41TDIST2_S503_N705" "Zotu15_P1_D10_4SHC5C2R_S502_N706" "Zotu16_P1_F08_41TDIST2_S503_N705" "Zotu170_P1_D05_13SHC4C1_S505_N703" "Zotu17_P1_A01_32TCONS2_S502_N701" "Zotu17_P1_B09_9MMC3P_S505_N705" "Zotu17_P1_E03_55TRE137_S505_N702" "Zotu18_P1_A01_32TCONS2_S502_N701" "Zotu201_P1_D05_13SHC4C1_S505_N703" "Zotu22_P1_G01_8IZTPOCR_S505_N701" "Zotu23_P1_F08_41TDIST2_S503_N705" "Zotu24_P1_D10_4SHC5C2R_S502_N706" "Zotu29_P2_G03_2SHCN5C2J_S506_N708" "Zotu30_P1_A01_32TCONS2_S502_N701" "Zotu30_P1_F08_41TDIST2_S503_N705" "Zotu34_P1_C03_29TRE808_S504_N702" "Zotu37_P1_B09_9MMC3P_S505_N705" "Zotu37_P1_E02_21MMC3_S517_N701" "Zotu39_P1_E03_55TRE137_S505_N702" "Zotu41_P1_E02_21MMC3_S517_N701" "Zotu42_P1_E03_55TRE137_S505_N702" "Zotu45_P1_F08_41TDIST2_S503_N705" "Zotu4_P1_D10_4SHC5C2R_S502_N706" "Zotu52_P1_C03_29TRE808_S504_N702" "Zotu55_P1_E02_21MMC3_S517_N701" "Zotu56_P1_C03_29TRE808_S504_N702" "Zotu59_P1_C03_29TRE808_S504_N702" "Zotu5_P2_A01_16IZPOC1_S502_N707" "Zotu63_P1_C03_29TRE808_S504_N702" "Zotu65_P1_B09_9MMC3P_S505_N705" "Zotu66_P1_B09_9MMC3P_S505_N705" "Zotu74_P1_C03_29TRE808_S504_N702" "Zotu7_P1_E02_21MMC3_S517_N701" "Zotu7_P1_F08_41TDIST2_S503_N705" "Zotu81_P1_C03_29TRE808_S504_N702" "Zotu92_P1_E02_21MMC3_S517_N701"
"G_B_Sa_16IZPOC1a" 1 1 1 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"G_B_Sa_21MMC3a" 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"G_B_Sa_29TRE808a" 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"G_B_Sa_41TDIST2a" 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_B_Sa_55TRE137a" 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_C_Sb_16IZPOC1b" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"G_C_Sb_21MMC3b" 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1
"G_C_Sb_29TRE808b" 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 1 0
"G_C_Sb_41TDIST2b" 1 1 1 0 0 0 1 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0
"G_C_Sb_55TRE137b" 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"G_E_Pab_16IZPOC1" 1 1 1 1 1 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0
"G_E_Pab_21MMC3" 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1
"G_E_Pab_29TRE808" 0 1 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 1 0 0 1 0
"G_E_Pab_41TDIST2" 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0
"G_E_Pab_55TRE137" 1 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
