"Zotu106_P1_E02_21MMC3_S517_N701" "Zotu10_P1_G01_8IZTPOCR_S505_N701" "Zotu111_P1_E02_21MMC3_S517_N701" "Zotu117_P2_E04_21MMC3b_S502_N709" "Zotu12_P1_D10_4SHC5C2R_S502_N706" "Zotu14_P1_D02_3SHCO5C2_S508_N701" "Zotu151_P1_E02_21MMC3_S517_N701" "Zotu155_P1_E02_21MMC3_S517_N701" "Zotu169_P2_B05_16IZPOC1a_S507_N709" "Zotu17_P2_D03_12MMOC3R_S504_N708" "Zotu22_P1_D10_4SHC5C2R_S502_N706" "Zotu23_P1_G01_8IZTPOCR_S505_N701" "Zotu241_P1_D05_13SHC4C1_S505_N703" "Zotu243_P2_G03_2SHCN5C2J_S506_N708" "Zotu25_P2_D03_12MMOC3R_S504_N708" "Zotu2_P1_E03_55TRE137_S505_N702" "Zotu31_P1_G01_8IZTPOCR_S505_N701" "Zotu42_P1_G01_8IZTPOCR_S505_N701" "Zotu45_P1_E03_55TRE137_S505_N702" "Zotu49_P2_D03_12MMOC3R_S504_N708" "Zotu4_P1_E03_55TRE137_S505_N702" "Zotu55_P1_G01_8IZTPOCR_S505_N701" "Zotu7_P1_A01_32TCONS2_S502_N701" "Zotu84_P1_B09_9MMC3P_S505_N705" "Zotu8_P2_D03_12MMOC3R_S504_N708"
"IZP_T_J_6IZPOC1J" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IZP_T_P_5IZPOC1P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"IZP_T_W_7IZPOC1W" 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"IZT_T_R_8IZTPOCR" 0 1 1 0 0 0 1 0 0 1 1 1 1 0 0 1 1 1 0 0 0 1 0 0 0
"MM_T_J_10MMOC3J" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MM_T_P_9MMC3P" 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1
"MM_T_R_12MMOC3R" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
"MM_T_W_11MMOC3W" 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0
"SJH_T_P_1SHC5C2P" 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
"SJH_T_R_4SHC5C2R" 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"SJH_T_W_3SHCO5C2W" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
