"Zotu102_P2_D03_12MMOC3R_S504_N708" "Zotu105_P1_B09_9MMC3P_S505_N705" "Zotu106_P1_B09_9MMC3P_S505_N705" "Zotu10_P1_A04_10MMOC3J_S507_N702" "Zotu129_P1_C03_29TRE808_S504_N702" "Zotu133_P1_G01_8IZTPOCR_S505_N701" "Zotu137_P1_C03_29TRE808_S504_N702" "Zotu138_P1_G01_8IZTPOCR_S505_N701" "Zotu13_P1_C07_6IZPOC1J_S505_N704" "Zotu14_P1_C03_29TRE808_S504_N702" "Zotu14_P2_A03_11MMOC3W_S502_N708" "Zotu161_P1_F08_41TDIST2_S503_N705" "Zotu171_P2_G03_2SHCN5C2J_S506_N708" "Zotu18_P1_A04_10MMOC3J_S507_N702" "Zotu19_P1_B09_9MMC3P_S505_N705" "Zotu25_P1_D05_13SHC4C1_S505_N703" "Zotu38_P1_D10_4SHC5C2R_S502_N706" "Zotu40_P2_D03_12MMOC3R_S504_N708" "Zotu44_P2_D03_12MMOC3R_S504_N708" "Zotu49_P1_E03_55TRE137_S505_N702" "Zotu53_P1_B09_9MMC3P_S505_N705" "Zotu6_P2_D03_12MMOC3R_S504_N708" "Zotu73_P1_G01_8IZTPOCR_S505_N701" "Zotu84_P2_D03_12MMOC3R_S504_N708" "Zotu99_P1_B09_9MMC3P_S505_N705"
"IZP_T_J_6IZPOC1J" 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
"IZP_T_P_5IZPOC1P" 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"IZP_T_W_7IZPOC1W" 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"MM_T_J_10MMOC3J" 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0
"MM_T_P_9MMC3P" 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0
"MM_T_R_12MMOC3R" 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1
"MM_T_W_11MMOC3W" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SJH_T_J_2SHCN5C2J" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SJH_T_P_1SHC5C2P" 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"SJH_T_R_4SHC5C2R" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
