"Zotu104_P1_C03_29TRE808_S504_N702" "Zotu105_P1_B09_9MMC3P_S505_N705" "Zotu106_P1_B09_9MMC3P_S505_N705" "Zotu106_P1_F08_41TDIST2_S503_N705" "Zotu107_P1_E02_21MMC3_S517_N701" "Zotu129_P1_C03_29TRE808_S504_N702" "Zotu137_P1_C03_29TRE808_S504_N702" "Zotu137_P1_E02_21MMC3_S517_N701" "Zotu138_P1_G01_8IZTPOCR_S505_N701" "Zotu141_P1_C03_29TRE808_S504_N702" "Zotu143_P1_F08_41TDIST2_S503_N705" "Zotu14_P1_C03_29TRE808_S504_N702" "Zotu157_P1_F08_41TDIST2_S503_N705" "Zotu159_P1_F08_41TDIST2_S503_N705" "Zotu161_P1_F08_41TDIST2_S503_N705" "Zotu16_P1_E03_55TRE137_S505_N702" "Zotu191_P1_E02_21MMC3_S517_N701" "Zotu206_P2_E04_21MMC3b_S502_N709" "Zotu232_P2_A01_16IZPOC1_S502_N707" "Zotu25_P1_D05_13SHC4C1_S505_N703" "Zotu39_P1_C03_29TRE808_S504_N702" "Zotu49_P1_E03_55TRE137_S505_N702" "Zotu53_P1_C03_29TRE808_S504_N702" "Zotu54_P1_E03_55TRE137_S505_N702" "Zotu61_P1_C03_29TRE808_S504_N702" "Zotu73_P1_C03_29TRE808_S504_N702" "Zotu83_P1_C03_29TRE808_S504_N702" "Zotu86_P1_C03_29TRE808_S504_N702" "Zotu97_P1_E02_21MMC3_S517_N701"
"G_B_Sa_16IZPOC1a" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0
"G_B_Sa_21MMC3a" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_B_Sa_29TRE808a" 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
"G_B_Sa_41TDIST2a" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"G_B_Sa_55TRE137a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"G_C_Sb_21MMC3b" 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1
"G_C_Sb_29TRE808b" 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0
"G_C_Sb_41TDIST2b" 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"G_C_Sb_55TRE137b" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"G_E_Pab_21MMC3" 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1
"G_E_Pab_29TRE808" 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 0
"G_E_Pab_41TDIST2" 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"G_E_Pab_55TRE137" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0
